method,iter,K,budget,NMI,aRand,purity,numclusters,time,trueclusters
seed,20,0,0,0.772453323017398,0.416553104540153,0.975,33,0.048745,12
gpbi,20,4,2000,1,1,1,12,1.270448,12
nbc2,21,0,0,0.923987422909838,0.901444541283307,1,40,0.068155,12
bapd,21,0,0,0.409203453154987,0.102737623255071,0.631,82,0.487425,12
seed,21,0,0,0.775476752978221,0.429931632125277,0.976,33,0.048468,12
gpbi,21,4,2000,1,1,1,12,1.287476,12
nbc2,22,0,0,0.919419778983795,0.888930124161068,1,35,0.068754,12
bapd,22,0,0,0.407130504773776,0.0844348895863126,0.631,85,0.543421,12
seed,22,0,0,0.787293939995623,0.456279510394406,0.978,29,0.048193,12
gpbi,22,4,2000,1,1,1,12,1.282253,12
nbc2,23,0,0,0.956804618952565,0.953204562570538,1,32,0.068797,12
bapd,23,0,0,0.386532338061636,0.0499785842031936,0.599,93,0.531097,12
seed,23,0,0,0.79213942517755,0.460092607608837,0.978,28,0.048573,12
gpbi,23,4,2000,1,1,1,12,1.285038,12
nbc2,24,0,0,0.963976498068036,0.969377320272866,1,29,0.06949,12
bapd,24,0,0,0.375271649954198,0.0989652999105932,0.605,94,0.495083,12
seed,24,0,0,0.791164933473868,0.466485208579899,0.978,28,0.04809,12
gpbi,24,4,2000,1,1,1,12,1.275105,12
nbc2,25,0,0,0.930327969741427,0.92029502520998,1,35,0.068143,12
bapd,25,0,0,0.428069895118087,0.125768265393484,0.659,99,0.580952,12
seed,25,0,0,0.791659009521409,0.468655338765936,0.979,27,0.047676,12
gpbi,25,4,2000,1,1,1,12,1.275956,12
nbc2,26,0,0,0.918747524193757,0.891536037147728,1,35,0.068261,12
bapd,26,0,0,0.412849780412661,0.07389236852643,0.604,93,0.527211,12
seed,26,0,0,0.802862388998432,0.49378137324753,0.98,24,0.047621,12
gpbi,26,4,2000,1,1,1,12,1.274124,12
nbc2,27,0,0,0.933718465214666,0.910507853792037,1,28,0.068194,12
bapd,27,0,0,0.397466289668883,0.0654737841558606,0.582,74,0.482656,12
seed,27,0,0,0.787316734329334,0.45040922217716,0.981,24,0.048063,12
